Affenpinscher
Dalmatian
Dandie Dinmont Terrier
Danish/Swedish Farm Dog
Deerhound
Doberman Pinscher
Dogue de Bordeaux	French Mastiff
Drever
Dutch Partridge Dog
Dutch Schapendoes
Dutch Shepherd Dog
Dutch Smoushond
Dutch Tulip Dog
East Siberian Laika
Elo
English Cocker Spaniel
English Coonhound
English Foxhound
English Setter
English Springer Spaniel
English Toy Terrier	King Charles Spaniel
Entelbuch Mountain Dog
Estrela Mountain Dog
Eurasier
Fawn Brittany Basset
Fawn Brittany Griffon
Finnish Hound
Finnish Lapphund
Finnish Spitz
Flat-Coated Retriever
Fox Terrier
French Bulldog
French Pointing Dog - Pyrenean type
French Spaniel
Galician Palleiro Dog	Palleiro Shepherd Dog	Galician Cattledog	Palleiro
Garafiano Shepherd
German Hound
German Hunting Terrier
German Longhaired Pointer
German Pinscher
German Rough-haired Pointing Dog
German Shepherd Dog
German Shorthaired Pointer
German Spaniel
German Spitz
German Wirehaired Pointer
Glen of Imaal Terrier
Golden Retriever
Gordon Setter
Great Anglo-French Tricolour Hound
Great Anglo-French White and Black Hound
Great Anglo-French White and Orange Hound
Great Dane
Great Gascony Hound	Great Gascony Blue
Greater Swiss Mountain Dog
Greenland Dog
Greyhound
Griffon Nivernais
Halden Hound
Hamilton Hound
Hanover Hound
Harrier
Havanese
Hellenic Hound
Hokkaido inu
Hovawart
Hungarian Greyhound
Hungarian Vizsla
Huntaway
Ibizan Hound
Icelandic Sheepdog
Irish Red and White Setter
Irish Setter
Irish Terrier
Irish Water Spaniel
Irish Wolfhound
Istrian coarse-haired Hound
Istrian short-haired Hound
Italian Greyhound
Italian Hound
Jack Russell Terrier
Japanese Chin	Japanese Spaniel
Japanese Spitz
Kai
Karakatschan
Karelian bear dog
Karelo-Finnish Laika
Karst Shepherd
Kerry Blue Terrier
King Charles Spaniel
Kintamani
Kishu
Komondor
Kooikerhondje
Korean Jindo
Kretahound
Kromfohrlander
Kuvasz
Labradoodle
Labrador Retriever
Lagotto Romagnolo
Lakeland Terrier
Lancashire Heeler
Landseer
Lapinporokoira	Lapponian Herder
Large Vendeen Griffon Basset
Leonberger
Lhasa Apso
Lucas Terrier
Lurcher
Löwchen
Majorca Mastiff
Majorca Shepherd Dog
Maltese
Manchester Terrier
Maremma and Abruzzes Sheepdog
Mastiff
Medium Vendeen Griffon
Medium-sized Anglo-French Hound
Middleasian greyhound - Tazi
Miniature Australian Shepherd
Miniature Pinscher
Moscow Watchdog
Mudi
Munsterlander
Neapolitan Mastiff
Newfoundland
Nordic Spitz
Norfolk Terrier
Norman Artesian Basset
Norwegian Buhund
Norwegian Elkhound
Norwegian Hound
Norwegian Lundehund
Norwich Terrier
Nova Scotia Duck-Tolling Retriever
Old Danish Pointer
Old English Sheepdog
Old German Cattledog
Olde English Bulldogge
Otterhound
Papillon
Parson Russell Terrier
Patterdale terrier
Pekingese
Peruvian Hairless Dog
Petit Basset Griffon Vendeen
Pharaoh Hound
Picardy Shepherd
Picardy Spaniel
Plott Hound
Plummer Terrier
Pointer
Poitevin
Polish Greyhound	Polish Sighthound
Polish Hound
Polish Hunting Dog	Polish Scenthound
Polish Lowland Sheepdog
Pont Audemer Spaniel
Poodle
Porcelaine
Portuguese Cattle Dog
Portuguese Podengo
Portuguese Pointer
Portuguese Sheepdog
Portuguese Water Dog
Prague Ratter
Pudelpointer
Pug
Puli
Pumi
Pyrenean Mastiff
Pyrenean Mountain Dog
Pyrenean Sheepdog
Rajapalayam Hound
Rampur Hound
Rat Terrier
Redbone Coonhound
Rhodesian Ridgeback
Romanian Carpathian Shepherd Dog
Romanian de Bucovina Shepherd Dog
Romanian Mioritic Shepherd Dog
Rottweiler
Rough Collie
Russian Spaniel
Russian Toy Terrier
Russo-European Laika
Saarlooswolfhond
Saluki
Samoyed
Sarplaninac
Schiller Hound
Schipperke
Schnauzer
Scottish Terrier
Sealyham Terrier
Serbian Hound
Serbian Tricolour Hound
Shar Pei	Chinese Shar-Pei
Shetland Sheepdog
Shiba Inu
Shih Tzu
Shih-Poo
Shikoku
Shiloh Shepherd
Siberian Husky
Sicilian Sheepdog
Silken Windhound
Skye Terrier
Sloughi
Slovakian Chuvach
Slovakian Hound
Slovakian Wire-haired Pointing Dog
Smalands Hound
Small Blue Gascony Hound
Small Swiss Hound
Smooth Collie
Soft-Coated Wheaten Terrier
South Russian Ovcharka
Spanish Greyhound
Spanish Mastiff
Spanish Water Dog
Spinone Italiano
St. Bernard dog
Stabyhoun
Staffordshire Bull Terrier
Styrian coarse-haired Hound
Sussex Spaniel
Swedish Elkhound
Swedish Lapphund
Swedish Vallhund
Swiss Hound
Taigan
Taiwan Dog
Tamaskan Dog
Tatra Shepherd Dog
Tesem
Thai Ridgeback
Tibetan Mastiff
Tibetan Spaniel
Tibetan Terrier
Tosa Inu	Tosa
Toy Manchester Terrier
Transylvanian Hound
Treeing Walker Coonhound
Tyrolean Hound
Volpino Italiano
Waeller
Weimaraner
Welsh Corgi (Cardigan)
Welsh Corgi (Pembroke)
Welsh Springer Spaniel
Welsh Terrier
West Highland White Terrier
West Siberian Laika
Westfal Terrier
Westphalian Dachsbracke
Wetterhond
Whippet
White English Bulldog
White Swiss Shepherd
Wirehaired Pointing Griffon	Korthals Griffon
Xoloitzcuintle	Mexican Hairless Dog
Yakutian Laika
Yorkshire terrier
